?cls	?def	?xrefs
<https://spec.industrialontologies.org/ontology/construct/DirectiveInformationContentEntity>		
<http://purl.obolibrary.org/obo/BFO_0000009>		
<https://spec.industrialontologies.org/ontology/construct/MaterialResource>		
<http://purl.obolibrary.org/obo/BFO_0000203>		
<http://purl.obolibrary.org/obo/BFO_0000001>		
<https://spec.industrialontologies.org/ontology/construct/Manufacturer>		
<http://purl.obolibrary.org/obo/BFO_0000146>		
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000007>	"An amount of rock is an 'earth material' that is a naturally occuring, inorganic, solid, homogeneous chemical compound with a crystalline structure."@en	
<https://spec.industrialontologies.org/ontology/construct/LossOfRole>		
<https://spec.industrialontologies.org/ontology/construct/SupplyingBusinessProcess>		
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000006>	"It is a natural amount of matter 'generated by' some 'geological process'."@en	
<https://spec.industrialontologies.org/ontology/construct/OrganizationIdentifier>		
<https://spec.industrialontologies.org/ontology/construct/CommercialService>		
<https://spec.industrialontologies.org/ontology/construct/AssemblyProcess>		
<https://spec.industrialontologies.org/ontology/construct/MaintainableMaterialItemRole>		
<https://spec.industrialontologies.org/ontology/construct/DesignativeInformationContentEntity>		
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000012>	"It is a 'relational quality' that 'inheres in' two distinct 'geological object' that are 'externally connected with'"@en	
<http://purl.obolibrary.org/obo/BFO_0000028>		
<https://spec.industrialontologies.org/ontology/construct/MaintainableMaterialItem>		
<https://spec.industrialontologies.org/ontology/construct/MaterialLocationChangeProcess>		
<https://spec.industrialontologies.org/ontology/construct/AgentRole>		
<http://purl.obolibrary.org/obo/BFO_0000016>		
<https://spec.industrialontologies.org/ontology/construct/MeasurementProcess>		
<https://spec.industrialontologies.org/ontology/construct/GroupOfPersons>		
<https://spec.industrialontologies.org/ontology/construct/CustomerRole>		
<http://purl.obolibrary.org/obo/BFO_0000004>		
<https://spec.industrialontologies.org/ontology/construct/Person>		
<http://purl.obolibrary.org/obo/BFO_0000020>		
<https://spec.industrialontologies.org/ontology/construct/SellingBusinessProcess>		
<https://spec.industrialontologies.org/ontology/construct/Algorithm>		
<http://purl.obolibrary.org/obo/BFO_0000141>		
<https://spec.industrialontologies.org/ontology/construct/CommercialServiceSpecification>		
<https://spec.industrialontologies.org/ontology/construct/ManufacturerRole>		
<https://spec.industrialontologies.org/ontology/construct/BusinessFunction>		
<https://spec.industrialontologies.org/ontology/construct/MeasuredValueExpression>		
<https://spec.industrialontologies.org/ontology/construct/BuyingBusinessProcess>		
<https://spec.industrialontologies.org/ontology/construct/DescriptiveInformationContentEntity>		
<https://spec.industrialontologies.org/ontology/construct/CommercialServiceAgreement>		
<http://purl.obolibrary.org/obo/BFO_0000148>		
<http://purl.obolibrary.org/obo/BFO_0000027>		
<https://spec.industrialontologies.org/ontology/construct/Agent>		
<https://spec.industrialontologies.org/ontology/construct/TemporalInstantValueExpression>		
<http://purl.obolibrary.org/obo/BFO_0000015>		
<http://purl.obolibrary.org/obo/BFO_0000003>		
<http://purl.obolibrary.org/obo/BFO_0000140>		
<http://purl.obolibrary.org/obo/BFO_0000031>		
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000005>	"It is a BFO temporal interval that corresponds to a time interval within the Geological Time Scale."@en	
<https://spec.industrialontologies.org/ontology/construct/BusinessOrganization>		
<https://www.inf.ufrgs.br/bdi/ontologies/GEOCORE_0000002>	"It is a physical, or chemical, or biological, naturally occurring process that occurs on the Earth’s surface or subsurface and occupies some 'geological time interval'"@en	
