?cls	?pred	?val	?synType
<https://spec.industrialontologies.org/ontology/construct/MeasurementInformationContentEntity>	<http://www.w3.org/2000/01/rdf-schema#label>	"measurement information content entity"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialArtifact>	<http://www.w3.org/2000/01/rdf-schema#label>	"material artifact"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ProcessCharacteristic>	<http://www.w3.org/2000/01/rdf-schema#label>	"process characteristic"@en-us	
<https://spec.industrialontologies.org/ontology/construct/PlannedProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"planned process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/DesignativeInformationContentEntity>	<http://www.w3.org/2000/01/rdf-schema#label>	"designative information content entity"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Capability>	<http://www.w3.org/2000/01/rdf-schema#label>	"capability"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MeasuredValueExpression>	<http://www.w3.org/2000/01/rdf-schema#label>	"measured value expression"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MeasurementProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"measurement process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ValueExpression>	<http://www.w3.org/2000/01/rdf-schema#label>	"value expression"@en-us	
<https://spec.industrialontologies.org/ontology/construct/Manufacturer>	<http://www.w3.org/2000/01/rdf-schema#label>	"manufacturer"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaintainableMaterialItem>	<http://www.w3.org/2000/01/rdf-schema#label>	"maintainable material item"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ActionSpecification>	<http://www.w3.org/2000/01/rdf-schema#label>	"action specification"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialResource>	<http://www.w3.org/2000/01/rdf-schema#label>	"material resource"@en-us	
<https://spec.industrialontologies.org/ontology/construct/PlanSpecification>	<http://www.w3.org/2000/01/rdf-schema#label>	"plan specification"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialProductRole>	<http://www.w3.org/2000/01/rdf-schema#label>	"material product role"@en-us	
<https://spec.industrialontologies.org/ontology/construct/TemporalDurationValueExpression>	<http://www.w3.org/2000/01/rdf-schema#label>	"temporal duration value expression"@en-us	
<https://spec.industrialontologies.org/ontology/construct/ProcuringBusinessProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"procuring business process"@en-us	
<https://spec.industrialontologies.org/ontology/construct/TemporalInstantValueExpression>	<http://www.w3.org/2000/01/rdf-schema#label>	"temporal instant value expression"@en-us	
<https://spec.industrialontologies.org/ontology/construct/MaterialLocationChangeProcess>	<http://www.w3.org/2000/01/rdf-schema#label>	"material location change process"@en-us	
